zoo,zooLabel,country,countryLabel,region,regionLabel,coord,inception,website
http://www.wikidata.org/entity/Q42796626,Gan Guru,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q943058,Nir David,Point(35.447666666 32.507777777),1996-01-01T00:00:00Z,http://www.nirtours.co.il/%D7%92%D7%9F_%D7%92%D7%95%D7%A8%D7%95
http://www.wikidata.org/entity/Q48797664,Samphran Elephant Ground & Zoo,http://www.wikidata.org/entity/Q869,Thailand,http://www.wikidata.org/entity/Q476603,Sam Phran,Point(100.2552196 13.721479),,http://www.elephantshow.com/home.htm
http://www.wikidata.org/entity/Q41442819,Q41442819,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q2888757,Matzuva,Point(35.155666666 33.062305555),,http://zohalim.com
http://www.wikidata.org/entity/Q24942915,Dr. Shyama Prasad Mukharjee Surat Municipal Zoo,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1061,Gujarat,,,
http://www.wikidata.org/entity/Q4703495,Mohamed bin Zayed Nature Reserve,http://www.wikidata.org/entity/Q398,Bahrain,,,Point(50.49555556 26.01555556),1976-01-01T00:00:00Z,http://www.alareen.bh
http://www.wikidata.org/entity/Q11256102,Q11256102,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q646755,Tateyama,Point(139.854694 34.98975),,
http://www.wikidata.org/entity/Q11282869,Aquatotto Gifu,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q641491,Kakamigahara,Point(136.810472 35.371722),2004-07-14T00:00:00Z,https://aquatotto.com/
http://www.wikidata.org/entity/Q11256102,Q11256102,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q121338505,Tateyama,Point(139.854694 34.98975),,
http://www.wikidata.org/entity/Q7400110,Kujukushima Pearl Sea Resort,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q328000,Sasebo,Point(129.67944444 33.16138889),1994-01-01T00:00:00Z,https://pearlsea.jp/
http://www.wikidata.org/entity/Q11260727,Q11260727,http://www.wikidata.org/entity/Q17,Japan,,,Point(131.955 33.070278),2011-04-02T00:00:00Z,
http://www.wikidata.org/entity/Q11292366,Q11292366,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q692745,Monbetsu,Point(143.373528 44.333583),1987-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4854746,Bandung Zoo,http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q10389,Bandung,Point(107.606944444 -6.890277777),1933-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q41860391,Q41860391,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q1026531,Sde Boker,Point(34.780972222 30.8495),,http://www.boker.org.il/info/negev/snakes/
http://www.wikidata.org/entity/Q4828854,Avilon Zoo,http://www.wikidata.org/entity/Q928,Philippines,http://www.wikidata.org/entity/Q106825,Q106825,Point(121.151667 14.744722),2005-01-01T00:00:00Z,http://www.avilonzoo.ph/
http://www.wikidata.org/entity/Q4812638,Atagawa Tropical & Alligator Garden,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q304491,Higashiizu,Point(139.067895 34.816602),1958-09-20T00:00:00Z,http://bananawani.jp/
http://www.wikidata.org/entity/Q6764196,Miyajima Public Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q736897,Hatsukaichi,Point(132.315356 34.295392),1959-01-01T00:00:00Z,https://www.miyajima-aqua.jp/
http://www.wikidata.org/entity/Q64438207,Jakarta Aquarium,http://www.wikidata.org/entity/Q252,Indonesia,,,Point(106.789987 -6.175112),,
http://www.wikidata.org/entity/Q75331465,Bali Zoo,http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q11496,Gianyar,Point(115.266555555 -8.592),,
http://www.wikidata.org/entity/Q108689584,Kamla Nehru Zoological Garden,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1070,Ahmedabad,Point(72.60443 23.00758),1951-01-01T00:00:00Z,https://www.ahmedabadzoo.in/index.php
http://www.wikidata.org/entity/Q108698185,Patiala Zoo,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q22424,Punjab,,,
http://www.wikidata.org/entity/Q111515618,Batang Dolphin Center,http://www.wikidata.org/entity/Q252,Indonesia,,,,,
http://www.wikidata.org/entity/Q105438385,Bannerghatta Biological Park,http://www.wikidata.org/entity/Q668,India,,,,,
