qid,zooLabel,countryLabel,inception,regionLabel
Q30114492,Nagoya Zoo,Japan,,Tsurumai-chō
Q96473886,Kish Dolphinarium,Iran,,Kish
Q1191885,Osaka Aquarium Kaiyukan,Japan,1990-01-01T00:00:00Z,Kaigandori
Q60768800,Kemenuh Butterfly Park,Indonesia,,
Q5087827,Chhatbir Zoo,India,1977-01-01T00:00:00Z,
Q134437707,Rainforest Wild Asia,Singapore,,Mandai
Q4923810,Sriracha Tiger Zoo,Thailand,1997-01-01T00:00:00Z,Nong Kham
Q137571107,Kunming Zoo,People's Republic of China,,Kunming
Q113641605,Q113641605,Palestine,1998-01-01T00:00:00Z,Gush Katif
Q39060593,Phuket Zoo,Thailand,1997-01-01T00:00:00Z,Chalong
Q41636597,Zoo-Botanical Garden Nahariya,Israel,2003-01-01T00:00:00Z,Nahariya
Q6440990,Kuala Lumpur Butterfly Park,Malaysia,,Kuala Lumpur
Q4345206,"Utopia park, Israel",Israel,2006-01-01T00:00:00Z,Bahan
Q11265357,Taiji Whale Museum,Japan,1969-01-01T00:00:00Z,Taiji
Q4842512,Bahawalpur Zoo,Pakistan,1942-01-01T00:00:00Z,Bahawalpur
Q4809463,Sea Life İstanbul,Turkey,2009-01-01T00:00:00Z,Bayrampaşa
Q1132057,Rayong Aquarium,Thailand,,
Q138936537,Awajishima Monkey Center,Japan,,Sumoto
Q110471376,Dubai Butterfly Garden,United Arab Emirates,,
Q56349389,Uda Animal Park,Japan,,Uda
Q48733001,Kamalia Wildlife Park,Pakistan,,Kamalia Tehsil
Q28043528,Jong's Crocodile Farm and Zoo,Malaysia,1979-01-01T00:00:00Z,Siburan
Q1547682,Jurong Bird Park,Singapore,1971-01-03T00:00:00Z,Boon Lay
Q553044,Kamogawa Sea World,Japan,1970-10-01T00:00:00Z,Kamogawa
Q7425054,Sakai National Park Kujukushima Zoo & Botanical Garden,Japan,1961-01-01T00:00:00Z,Sasebo
Q7741262,Ice Museum,Japan,,Kesennuma
Q7421103,Sapporo Maruyama Zoo,Japan,1951-05-05T00:00:00Z,Miyagaoka
Q40493,Sea World Indonesia,Indonesia,1980-01-01T00:00:00Z,
Q4782624,Aqua World,Japan,2002-03-21T00:00:00Z,Ōarai-machi
Q6444237,Kund Park,Pakistan,2000-01-01T00:00:00Z,Nowshera
Q4782699,Aquamarine Fukushima,Japan,2000-07-15T00:00:00Z,Iwaki
Q7231211,Port of Nagoya Public Aquarium,Japan,1992-10-01T00:00:00Z,Minato-machi
Q95708949,Firefly Valley Leisure Park,Malaysia,,Kota Tinggi District
Q11341120,Marinepia Matsushima Aquarium,Japan,,Matsushima
Q7695556,Tel Aviv Zoo,Israel,1938-01-01T00:00:00Z,Tel Aviv
Q11357193,Q11357193,Japan,,
Q7039114,Ninoy Aquino Parks & Wildlife Center,Philippines,1954-07-05T00:00:00Z,
Q11267523,Saitama Aquarium,Japan,,Hanyū-shi
Q11361449,Q11361449,Japan,,
Q97196287,Yayoi Ikoinohiroba,Japan,,Hirosaki
Q93202513,Q93202513,Kurdistan,2020-01-01T00:00:00Z,Kurdistan Region of Iraq
Q11256102,Q11256102,Japan,,Tateyama
Q11282869,Aquatotto Gifu,Japan,2004-07-14T00:00:00Z,Kakamigahara
